id,japones,hiragana,romaji,traduccion
5394,農家,のうか,nouka,Agricultor / a / Granjero / a
5395,漁師,りょうし,ryoushi,Pescador / a
5396,大工,だいく,daiku,Carpintero / a
5397,課長,かちょう,kachou Jefe de,sección
5398,秘書,ひしょ,hisho,Secretario / a
5399,契約社員,けいやくしゃいん,keiyakushain Empleado por contrato / Temporal,(largo
5400,派遣社員,はけんしゃいん,hakenshain Empleado temporal,(a través de agencia)
5401,アルバイト / バイト,あるばいと / ばいと,arubaito / baito Trabajo a tiempo parcial / Empleo temporal,"(estudiantes, etc.)"
5402,パートタイム / パート,ぱーとたいむ / ぱーと,paatotaimu / paato Trabajo a tiempo parcial,(generalmente
5403,フリーランス,ふりーらんす,furiiransu Freelance,Autónomo
5404,自営業,じえいぎょう,jieigyou,Autónomo / Negocio propio
5405,退職者,たいしょくしゃ,taishokusha,Jubilado / a / Persona retirada
5406,,しゅうかつ,katsudou / shuukatsu,Búsqueda de empleo
5408,面接,めんせつ,mensetsu Entrevista,(de trabajo)
5409,採用,さいよう,saiyou,Contratación
5410,不採用,ふさいよう,fusaiyou Rechazo,(en contratación)
5411,昇進,しょうしん,shoushin Ascenso,Promoción
5412,異動,いどう,idou Traslado,(dentro de la misma empresa)
5413,転勤,てんきん,tenkin Traslado,"(a otra sucursal, con mudanza)"
5414,休日出勤,きゅうじつしゅっきん,kyuujitsu shukkin Trabajar en,día festivo / libre
5415,同僚,どうりょう,douryou Colega,Compañero de trabajo
5416,部下,ぶか,buka Subordinado,14. Viajes y T ranspor te (Ampliado) Japonés (Kana / kanji) R o m a j i Español Planificación y Reservas
5417,予約確認書,よやくかくにんしょ,yoyaku kakuninsho,Confirmación de reserva
5418,キャンセル料,キャンセルりょう,kyanseru ryou Gastos de,cancelación
5419,海外旅行保険,かいがいりょこうほけん,kaigai ryokou hoken Seguro de viaje internacional,Transporte (Tren)
5420,JR,ジェイアール,jei aaru Japan Railways,(principal grupo
5421,駅員,えきいん,ekiin Empleado de,estación
5422,改札口,かいさつぐち,kaisatsuguchi Torno / Puerta de acceso,(a andenes)
5423,自動券売機,じどうけんばいき,jidou kenbaiki,Máquina expendedora de billetes
5424,口,みどりのまどぐち,kippu uriba / midori no madoguchi,Taquilla / Oficina de billetes (JR)
5425,定期券,ていきけん,teikiken Abono de transporte,"(mensual, etc.)"
5426,ICカード,アイシーカード,ai shii kaado Tarjeta IC,"(Suica, Pasmo, etc.)"
5427,チャージする,,chaaji suru Recargar,(tarjeta IC)
5428,時刻表,じこくひょう,jikokuhyou Horario,"(de trenes, autobuses)"
5429,路線図,ろせんず,rosenzu Mapa de,líneas / Plano de red
5430,ホーム,ほーむ,hoomu,Andén / Plataforma
5432,,かくえきていしゃ,futsuu ressha / kakueki teisha,Tren local (para en todas)
5433,快速,かいそく,kaisoku Tren,rápido (se salta algunas paradas)
5434,急行,きゅうこう,kyuukou Tren expreso,(menos paradas que el
5435,特急,とっきゅう,tokkyuu Tren expreso limitado,"(pocas paradas, a"
5436,グリーン車,グリーンしゃ,guriinsha Coche de primera clase,(Green Car)
5437,乗車券,じょうしゃけん,joushaken Billete,básico (cubre la distancia)
5438,特急券,とっきゅうけん,tokkyuuken Billete de tarifa,exprés (necesario
5439,終電,しゅうでん,shuuden,Último tren (del día)
5440,始発,しはつ,shihatsu Primer tren,(del día)
5441,遅延する,ちえんする,chien suru Retrasarse,(el tren)
5442,運休する,うんきゅうする,unkyuu suru Cancelar servicio,(el tren)
5443,車内アナウンス,しゃないアナウンス,shanai anaunsu Anuncio dentro del tren,Transporte (Otros)
5444,バス停,バスてい,basutei Parada de,autobús
5445,高速バス,こうそくバス,kousoku basu,Autobús de larga distancia / Autocar
5446,メーター,めーたー,meetaa,Taxímetro
5447,初乗り料金,はつのりりょうきん,hatsunori ryoukin Bajada de bandera,(tarifa inicial taxi)
5448,カーナビ,かーなび,kaanabi Navegador GPS,(del coche)
5449,料金所,りょうきんじょ,ryoukinjo Peaje,(cabina)
5450,渋滞,じゅうたい,juutai Atasco,Congestión de tráfico
5451,一方通行,いっぽうつうこう,ippou tsuukou,Dirección única / Sentido único
5452,満タン,まんタン,mantan Lleno,(depósito de gasolina)
5453,時差ぼけ,じさぼけ,jisaboke Jet lag,Alojamiento (Detalles)
5454,フロント / 受付,うけつけ,furonto / uketsuke,Recepción (hotel)
5455,シングルルーム,しんぐるるーむ,shinguru ruumu,Habitación individual
5456,ツインルーム,ついんるーむ,tsuin ruumu,Habitación doble (dos camas)
5457,ダブルルーム,だぶるるーむ,daburu ruumu,Habitación doble (cama matrimonial)
5458,和室,わしつ,washitsu,Habitación de estilo japonés (tatami)
5459,洋室,ようしつ,youshitsu,Habitación de estilo occidental
5460,禁煙室,きんえんしつ,kin'enshitsu,Habitación para no fumadores
5461,喫煙室,きつえんしつ,kitsuen'shitsu,Habitación para fumadores
5462,アメニティ,あめにてぃ,ameniti,Artículos de aseo (amenities)
5463,大浴場,だいよくじょう,daiyokujou,Baño público grande (en hotel / ryokan)
5464,露天風呂,ろてんぶろ,rotenburo,Baño al aire libre (onsen)
5465,空室,くうしつ,kuushitsu,Habitación libre
5466,非常事態,ひじょうじたい,hijou jitai,Situación de emergencia / Estado de
5467,避難訓練,ひなんくんれん,hinan kunren Simulacro de,evacuación
5468,避難勧告,ひなんかんこく,hinan kankoku,Recomendación de evacuación
5469,避難指示,ひなんしじ,hinan shiji Orden de,evacuación
5470,防災,ぼうさい,bousai,Prevención de desastres
5471,防災グッズ,ぼうさいグッズ,bousai guzzu Kit de emergencia,Artículos de
5472,被害,ひがい,higai,Daño / Perjuicio
5473,被災者,ひさいしゃ,hisaisha Damnificado,Víctima (de desastre)
5474,安否確認,あんぴかくにん,anpi kakunin,Confirmación de seguridad (tras
5475,迷子,まいご,maigo,Niño perdido
5476,迷子センター,まいごセンター,maigo sentaa Centro de,niños perdidos
5477,事件,じけん,jiken Incidente / Caso,(policial)
5478,事情聴取,じじょうちょうしゅ,jijou choushu Interrogatorio / Tomar,declaración
5479,違反,いはん,ihan,"Infracción / Violación (de ley, regla)"
5480,逮捕される,たいほされる,taiho sareru Ser,arrestado / detenido
5481,警告,けいこく,keikoku Advertencia,Amonestación
5482,クレーム,くれーむ,kureemu Queja,Reclamación
5483,苦情,くじょう,kujou Queja,Reclamación (más formal)
5484,言い争い,いいあらそい,iiarasoi,Discusión / Altercado verbal
5485,喧嘩,けんか,kenka Pelea,Riña
5487,解決策,かいけつさく,kaiketsusaku,Solución
5488,対応,たいおう,taiou Respuesta / Medida /,Cómo manejar
5489,～が動かない,～がうごかない,ga ugokanai,~ no funciona / ~ no se mueve
5490,～が壊れた,～がこわれた,ga kowareta,~ se ha roto / ~ se ha estropeado
5491,～を失くした,～をなくした,o nakushita He perdido,~
5492,～が見つからない,～がみつからない,ga mitsukaranai No encuentro,~
5493,気分が悪 い,きぶんがわるい,kibun ga warui Me siento mal / Tengo,náuseas
5494,怪我をした,けがをした,kega o shita Me he hecho,daño / Me he lesionado
5495,誰か！,だれか！,Dare,ka! ¡Alguien! (Para pedir ayuda urgente)
5496,絵画,かいが,kaiga Pintura,(arte)
5497,油絵,あぶらえ,aburae Pintura al,óleo
5498,日本画,にほんが,nihonga Pintura de estilo,japonés
5499,浮世絵,うきよえ,ukiyoe Ukiyo-e,(grabado japonés)
5500,陶芸,とうげい,tougei,Cerámica (arte)
5504,イラスト,いらすと,irasuto,Ilustración
5505,漫画,マンガ,manga Manga,Cómic
5506,アニメ,あにめ,anime Anime,Animación
5507,博物館,はくぶつかん,hakubutsukan Museo,(general)
5508,ギャラリー / 画廊,がろう,gyararii / garou,Galería de arte
5509,tenrankai,,tenjikai,Exposición
5510,作品,さくひん,sakuhin Obra,(de arte)
5511,鑑賞する,かんしょうする,kanshou suru Apreciar / Contemplar,"(arte, música, etc.)"
5512,芝居,しばい,shibai Obra de teatro,Actuación
5513,劇場,げきじょう,gekijou Teatro,(edificio)
5514,監督,かんとく,kantoku Director,"(cine, teatro)"
5515,演出,えんしゅつ,enshutsu,Dirección escénica / Puesta en escena
5516,役,やく,yaku Papel / Rol,(en una obra)
5517,観客,かんきゃく,kankyaku,Público / Espectador
5518,オペラ,おぺら,opera,Ópera
5519,ライブ,らいぶ,raibu Concierto en vivo,Actuación en directo
5520,楽器,がっき,gakki Instrumento musical,Artes Tradicionales Japonesas
5521,伝統芸能,でんとうげいのう,dentou geinou Artes,escénicas tradicionales
5522,歌舞伎,かぶき,kabuki Kabuki,(teatro tradicional)
5523,能,のう,nou Noh,(teatro tradicional)
5524,狂言,きょうげん,kyougen Kyogen,(farsa cómica tradicional)
5525,文楽,ぶんらく,bunraku Bunraku,(teatro de marionetas)
5526,落語,らくご,rakugo Rakugo,(monólogo cómico)
5527,講談,こうだん,koudan Kodan,(narración tradicional)
5528,三味線,しゃみせん,shamisen Shamisen,(instrumento de 3 cuerdas)
5529,琴,こと,koto Koto,(instrumento de cuerda)
5530,尺八,しゃくはち,shakuhachi Shakuhachi,(flauta de bambú)
5531,太鼓,たいこ,taiko Taiko,(tambor japonés)
5532,茶道,さどう / ちゃどう,sadou / chadou Ceremonia del,té
5533,華道 (かどう) / 生け花,いけばな,kadou / ikebana Arreglo floral,japonés
5534,盆栽,ぼんさい,bonsai,Bonsái
5535,相撲,すもう,sumou Sumo,Entretenimiento Moderno
5537,ゲームセンター / ゲーセン,げーむせんたー / げーせん,geemu sentaa / geesen,Salón recreativo / Sala de videojuegos
5538,テーマパーク,てーまぱーく,teema paaku Parque,temático
5539,イルミネーション,いるみねーしょん,irumineeshon,"Iluminación decorativa (navideña, etc.)"
5540,フェスティバル / フェス,ふぇすてぃばる / ふぇす,fesutibaru / fesu Festival,"(musical, etc.)"
5541,ほとんど,ほとんど,hotondo Casi todo / La,mayoría / Casi
5542,たくさん / 多い,おおい,takusan / ooi,Mucho(s) / Numeroso
5546,余る,あまる,amaru Sobrar / Quedar de,más
5547,数,かず,kazu,Número / Cantidad
5548,非常に,ひじょうに,hijou ni Extremadamente / Muy,(formal)
5549,すごく / すごい,すごく / すごい,sugoku / sugoi Muy / Tremendamente,(informal)
5550,結構,けっこう,kekkou Bastante,Más de lo esperado
5551,割と / 割に,わりと / わｒに,wari to / wari ni Relativamente / Bastante,(para lo esperado)
5552,まあまあ,まあまあ,maa maa,Más o menos / Regular / Así así
5553,あまり,~ ない,amari,(~nai) No muy
5554,そんなに,~ ない,sonna ni,(~nai) No tan / No tanto
5555,全然 (~ない),ぜんぜん,zenzen,(~nai) Nunca (en este contexto) / En absoluto
5556,少しも (~ ない),すこしも,sukoshi mo,(~nai) Ni un poco
5558,さらに,さらに,sara ni,Aún más / Además
5559,一番,いちばん,ichiban,El / la más / Número uno
5560,最も,もっとも,mottomo,El / la más (formal)
5561,ますます,ますます,masumasu Cada vez,más
5562,~すぎる ~sugiru,,Demasiado,~ / Excesivamente ~ (sufijo verbal / adjetival)
5563,たまに,たまに,tamani De vez en cuando / Ocasionalmente,(menos frecuente que tokidoki)
5564,めったに,~ ない,metta ni,(~nai) Casi nunca / Raramente
5566,決して (~ ない),けっして,kesshite,(~nai) Nunca (jamás) / De ninguna manera
5567,毎日,まいにち,mainichi Todos los,días
5568,毎年,まいとし / まいねん,maitoshi / mainen Todos los,años
5569,一日中,いちにちじゅう,ichinichijuu Todo el,día
5570,しょっちゅう,しょっちゅう,shocchuu A menudo / Constantemente,(informal)
5571,頻繁に,ひんぱんに,hinpan ni Frecuentemente,(formal)
5572,アパート,あぱーと,apaato Apartamento,"(edificio pequeño, más antiguo / básico)"
5573,マンション,まんしょん,manshon Piso / Apartamento,"(edificio grande, más moderno / calidad)"
5574,団地,だんち,danchi Complejo residencial,Urbanización
5575,寮,りょう,ryou Residencia,"(de estudiantes, de empresa)"
5576,間取り,まどり,madori,Distribución / Plano (de una casa)
5577,LDK,エルディーケー,eru dii kee,Salón-Comedor-Cocina (Living-Dining-
5578,ワンルーム,わんるーむ,wan ruumu Estudio / Apartamento de una sola,habitación
5579,玄関,げんかん,genkan Entrada,Vestíbulo (donde se quitan zapatos)
5580,居間,いま,ima / ribingu Sala de estar /,Salón
5581,子供部屋,こどもべや,kodomobeya,Habitación de los niños
5582,書斎,しょさい,shosai Estudio / Despacho,(en casa)
5583,浴室 (よくしつ) / お風呂場,おふろば,yokushitsu / ofuroba Cuarto de,baño (zona bañera / ducha)
5584,洗面所,せんめんじょ,senmenjo Lavabo,(zona del lavamanos)
5585,脱衣所,だついじょ,datsuijo Vestidor,(junto al baño)
5586,,べんじょ,otearai / benjo,Baño / Aseo / WC
5587,和式トイレ,わしきトイレ,washiki toire Inodoro de estilo,japonés (en cuclillas)
5588,ウォシュレット,うぉしゅれっと,woshuretto Inodoro con,bidé incorporado (marca
5589,ベランダ,べらんだ,beranda,Balcón (con techo)
5590,バルコニー,ばるこにー,barukonii,"Balcón (sin techo, más grande)"
5592,屋根裏部屋,やねうらべや,yaneura beya,Ático / Desván / Buhardilla
5593,地下室,ちかしつ,chikashitsu,Sótano
5594,押し入れ,おしいれ,oshiire Armario empotrado,"(estilo japonés, para futón)"
5595,クローゼット,くろーぜっと,kuroozetto Armario,(estilo occidental)
5596,天井,てんじょう,tenjou Techo,(interior)
5597,畳,たたみ,tatami Tatami,(estera japonesa)
5599,襖,ふすま,fusuma Puerta corrediza opaca,(a menudo decorada)
5600,雨戸,あまど,amado Contraventana corrediza,(exterior)
5601,家主 (やぬし) / 大家さん,おおやさん,yanushi / ooyasan,Propietario / a / Casero / a
5602,管理人,かんりにん,kanrinin Conserje / Administrador,(del edificio)
5603,管理会社,かんりがいしゃ,kanri gaisha Empresa administradora,(del edificio)
5604,管理費,かんりひ,kanrihi Gastos de comunidad / Cuota de,administración
5605,共益費,きょうえきひ,kyouekihi Gastos comunes,"(luz escalera, etc.)"
5606,更新料,こうしんりょう,koushinryou Tasa de,renovación (del contrato de
5607,原状回復,げんじょうかいふく,genjou kaifuku,Restauración al estado original (al dejar
5609,回覧板,かいらんばん,kairanban,Tablón de anuncios circulante (del barrio)
5610,chounaikai,,chounaikai,Asociación de vecinos / de barrio
5611,分別,ぶんべつ,bunbetsu,Separación (de basura)
5612,可燃ゴミ,かねんゴミ,kanen gomi Basura combustible,Orgánica
5613,模様替え,もようがえ,moyougae Cambiar la,disposición de los muebles
5614,日当たり,ひあたり,hiatari,Exposición al sol / Luz solar (en una
5615,風通し,かぜとおし,kazetooshi,Ventilación
5616,防犯,ぼうはん,bouhan,Prevención del delito / Seguridad
5617,オートロック,おーとろっく,ootorokku Cierre,automático / Portero automático
5618,宅配ボックス,たくはいボックス,takuhai bokkusu,Buzón de paquetería / Taquilla de
5619,パンツ,ぱんつ,pantsu Bragas / Calzoncillos / Pantalones,(ambiguo)
5620,トランクス,とらんくす,torankusu,Bóxers (calzoncillos)
5621,襟,えり,eri Cuello,"(de camisa, chaqueta)"
5623,スーツ,すーつ,suutsu Traje,(de chaqueta y pantalón / falda)
5624,ワイシャツ,わいしゃつ,waishatsu Camisa,"(de vestir, blanca o clara)"
5625,ドレス,どれす,doresu Vestido,"(formal, de fiesta)"
5626,水着,みずぎ,mizugi,Bañador / Traje de baño
5627,浴衣,ゆかた,yukata Yukata,(kimono ligero de algodón)
5628,帯,おび,obi Obi,(cinturón ancho para kimono / yukata)
5629,足袋,たび,tabi Tabi,(calcetines japoneses con
5630,草履,ぞうり,zouri Zori,(sandalias japonesas formales)
5631,下駄,げた,geta Geta,(sandalias japonesas de madera)
5632,イヤリング,いやりんぐ,iyaringu Pendientes,(de clip o presión)
5633,ピアス,ぴあす,piasu Pendientes,(perforados)
5634,スカーフ,すかーふ,sukaafu,"Pañuelo (para cuello, cabeza)"
5636,杖,つえ,tsue,Bastón
5637,化粧品,けしょうひん,keshouhin,Cosméticos
5638,口紅,くちべに,kuchibeni / rippu Pintalabios /,Lápiz labial
5639,マスカラ,ますから,masukara,Máscara de pestañas / Rímel
5640,マニキュア / ネイル,まにきゅあ / ねいる,manikyua / neiru Esmalte de,uñas / Manicura
5641,化粧水,けしょうすい,keshousui,Loción tónica / Tónico facial
5642,乳液,にゅうえき,nyuueki,Emulsión / Leche hidratante
5643,シャンプー,しゃんぷー,shanpuu,Champú
5644,リンス / コンディショナー,りんす / こんでぃしょなー,rinsu / kondishonaa Acondicionador,(pelo)
5645,石鹸,せっけん,sekken,Jabón (en pastilla)
5646,ボディソープ,ぼでぃそーぷ,bodi soopu Gel de ducha,Jabón líquido corporal
5647,歯磨き粉,はみがきこ,hamigakiko Pasta de dientes,Dentífrico
5648,くし / ブラシ,,kushi / burashi Peine / Cepillo,(pelo)
5650,美容院,びよういん,biyouin / hea saron,Peluquería / Salón de belleza
5651,理髪店 (りはつてん) / 床屋,とこや,rihatsuten / tokoya,Barbería
5652,髪を染める,かみをそめる,kami o someru,Teñirse el pelo
5653,エステ,えすて,esute Tratamiento de belleza,Estética
5654,マジで / ガチで,,maji de / gachi de,¿En serio? / De verdad / Totalmente (Enfatizador)
5655,ヤバい,,yabai,"Increíble / Genial / Peligroso / Malo (Muy ambiguo, depende del contexto y tono)"
5656,キモい,,kimoi,(KIMOCHI WARUI) Repugnante / Asqueroso / Que da grima
5657,ウザい,,uzai,(UZATTAI) Molesto / Pesado / Irritante
5658,ビミョー,びみょー,bimyou Regular / Cuestionable /,Meh / Ni fu ni
5660,超,ちょう,chou / meccha / sugee,Súper / Muy / Un montón (Prefijos / adverbios intensificadores)
5661,パない / ハンパない,,pa nai / hanpa nai,Increíble / Impresionante / Fuera de lo común
5662,ウソでしょ？,,uso,"desho? ¿Es broma, no? / ¡No me digas!"
5663,ドン引き,ドンびき,donbiki,(suru) Quedarse helado / Sentir rechazo / vergüenza ajena
5664,チャラい,,charai,Frívolo / Superficial / Ligón (a menudo negativo)
5665,KY,ケーワイ,kee wai,(KUUKI YOMENAI) Incapaz de leer el ambiente / Inoportuno / Desubicado
5666,おつ,おつ,otsu,(OTSUKARESAMA) Gracias / Buen trabajo (Forma muy corta e informal)
5667,りょ,りょ,ryo,"(RYOUKAI) Entendido / OK (Forma muy corta e informal, en mensajes)"
5668,とりま,とりま,torima,"(TORIAEZU MAA) Bueno, por ahora / De momento (Relleno informal)"
5669,なるはや,なるはや,naruhaya,(NARUBEKI HAYAKU) Lo antes posible / Cuanto antes
5670,ワロタ / 草,くさ,warota / kusa Me,"río / LOL (Jerga de internet, kusa viene de wwww = warau)"
5671,それな,それな,sore na Exacto / Ya ves / Totalmente de acuerdo,(Muy coloquial)
5672,チルする / まったりする,,chiru suru / mattari suru Relajarse / Estar de tranquis /,Chilling
5673,エモい,,emoi Emotivo,Nostálgico / Que evoca
5674,盛る,もる,moru Exagerar / Adornar,(una historia) / Poner filtros (fotos)
5675,ディスる,,disuru Faltar al respeto / Criticar / Menospreciar,(del inglés disrespect)
5676,既読スルー,きどくスルー,kidoku suruu Leer un mensaje y no responder,(visto)
5677,リア充,リアじゅう,riajuu Persona con una vida,social / amorosa
5678,パリピ,ぱりぴ,paripi Fiestero / Persona sociable y extrovertida,(Party People)
5679,陽キャ (ようキャ) / 陰キャ,いんキャ,youkya / inkya Persona,extrovertida / popular / Persona
5704,清楚な,せいそな,seiso na Puro / Pulcro y ordenado,(aplicado a
5705,無頓着な,むとんちゃくな,mutonchaku na Descuidado / Indiferente,(al aspecto
5709,ごつごつした,ごつごつした,gotsugotsu shita Rugoso / Nudoso / Anguloso,(rocas
5711,ごわごわ,ごわごわ,gowagowa,"(suru / na) Rígido / Áspero (tela nueva, pelo tieso)"
5712,しっとり,しっとり,shittori,"(suru / na) Húmedo y suave (piel, comida como"
5713,ぱさぱさ,ぱさぱさ,pasapasa,(suru / na) Seco / Áspero (comida como pan viejo
5714,みずみずしい,みずみずしい,mizumizushii Jugoso / Fresco / Suculento,(frutas
5716,ぐちゃぐちゃ,ぐちゃぐちゃ,guchagucha,(na / ni) Hecho un lío / Revuelto / Empapado (si
5720,丁寧な,ていねいな,teinei na Cuidadoso,Cortés / Pulcro (trabajo
5740,気分が良い / 悪い,きぶんが いい / わるい,kibun ga,ii / warui Sentirse bien / mal (anímicamente)
5839,貼り付ける,はりつける,haritsukeru Pegar,(complemento a peesuto suru)
5840,切り取る,きりとる,kiritoru Cortar,(complemento a katto suru)
5850,電子メール,でんしメール,denshi meeru Correo,electrónico / Email (más formal
5854,頭が下がる,あたまがさがる,atama ga sagaru Sentir,admiración / respeto profundo
5855,息が合う,いきがあう,iki ga au Estar en,sintonía / Entenderse bien
5857,打てば響く,うてばひびく,uteba hibiku Responder,rápidamente / Captar al
5858,悦に入る,えつにいる,etsu ni iru Regodearse / Estar encantado de,sí
5859,高を括る,たかをくくる,taka o kukuru Subestimar / Menospreciar,(una
5860,血も涙もない,ちもなみだもない,chi mo namida mo nai No tener,corazón / Ser despiadado
5861,月とすっぽん,つきとすっぽん,tsuki to suppon Ser como el,día y la noche / No tener
5862,灯台下暗し,とうだいもとくらし,toudai moto kurashi En casa de,"herrero, cuchillo de palo (lit."
5863,途方に暮れる,とほうにくれる,tohou ni kureru Estar perdido / No saber,qué hacer
5864,花が高い,はながたかい,hana ga takai Estar orgulloso,(especialmente de
5865,火に油を注ぐ,ひにあぶらをそそぐ,hi ni abura o sosogu Echar,leña al fuego
5866,耳が痛い,みみがいたい,mimi ga itai Ser doloroso de,oír (porque es verdad o
5867,焼け石に水,やけいしにみず,yakeishi ni mizu Ser,inútil / Como echar agua en una
5868,輪をかける,わをかける,wa o kakeru Ser,aún peor / Superar en algo
5869,袖の下,そでのした,sode no shita Soborno,Bajo cuerda
5918,教師,きょうし,kyoushi Profesor / Maestro,(formalmente)
5955,日程,にってい,nittei Itinerario / Programa,(sinónimo de スケジ
5959,口,みどりのまどぐち,uriba / midori no madoguchi Taquilla / Oficina de billetes,(JR)
6022,役者,やくしゃ,yakusha Actor,(término más general que 俳優)
6028,舞踊,ぶよう,buyou Danza,(más formal que ダンス)
6029,演奏会,えんそうかい,ensoukai Concierto / Recital,(más formal que コン
6044,割に,わりに,wari ni Relativamente / Bastante,(para lo
6060,家主,やぬし,yanushi,"Propietario / a (formal, en contratos)"
6250,伝,でんとう / てつだう / でんとうげいのう,dentou / tetsudau / dentou geinou,tradición / ayudar (con una tarea) / artes escénicas tradicionales
6254,保,けんこうほけんしょう / しぜんほご / いりょうほけん,kenkou hokenshou / shizen hogo / iryou hoken,tarjeta del seguro médico / conservación de la naturaleza / seguro médico
6256,別,とくべつ / さべつ / ぶんべつ,tokubetsu / sabetsu / bunbetsu,(na) especial / discriminación / separación de basura
6258,危,きけん / ぜつめつきぐしゅ,kiken / zetsumetsu kigushu,(na) peligroso / especie en peligro de extinción
6261,天,てんきよほう / ろてんぶろ / てんじょう,tenki yohou / rotenburo / tenjou,pronóstico del tiempo / baño al aire libre / techo
6264,山,やま / とざん / かざん,yama / tozan / kazan,montaña / montañismo / volcán
6268,性,せいかく / ひえしょう,seikaku / hieshou,carácter / personalidad / sensibilidad al frío
6276,断,しんだん / けんこうしんだん / せつだんする,shindan / kenkou shindan / setsudan suru,diagnóstico / chequeo de salud / desconectar(se)
6277,曜,すいようび / どようび / なんようび,suiyoubi / doyoubi / nanyoubi,miércoles / sábado / ¿qué día de la semana?
6279,月,おしょうがつ / おつきみ / つきとすっぽん,oshougatsu / otsukimi / tsuki to suppon,Año Nuevo / contemplación de la luna / ser como el día y la noche
6280,朝,あさ / けさ / まいあさ,asa / kesa / maiasa,mañana / esta mañana / cada mañana
6284,汚,たいきおせん / すいしつおせん / どじょうおせん,taiki osen / suishitsu osen / dojou osen,contaminación atmosférica / contaminación del agua / contaminación del suelo
6286,治,ちりょう / せいじ / せいじか,chiryou / seiji / seijika,tratamiento médico / política / político(a)
6287,温,あたたかい / たいおんけい / きおん,atatakai / taionkei / kion,cálido / termómetro / temperatura
6290,火,かざん / ふんかする / ひにあぶらをそそぐ,kazan / funka suru / hi ni abura o sosogu,volcán / entrar en erupción / echar leña al fuego
6295,療,しんりょうじょ / クリニック / ちりょう / いりょうほけん,shinryoujo / kurinikku / chiryou / iryou hoken,clínica / clínica / tratamiento médico / seguro médico
6296,盆,おぼん / ぼんち / ぼんさい,obon / bonchi / bonsai,Obon / cuenca / bonsái
6298,石,いっせきにちょう / せっけん / やけいしにみず,isseki nichou / sekken / yakeishi ni mizu,matar dos pájaros de un tiro / jabón en pastilla / como echar agua en una piedra caliente
6302,統,でんとう / だいとうりょう / でんとうげいのう,dentou / daitouryou / dentou geinou,tradición / presidente de una república / artes escénicas tradicionales
6303,続,じぞくかのう / せつぞく / せつぞくする,jizoku kanou / setsuzoku / setsuzoku suru,(na) sostenible / conexión / conectar(se)
6304,練,かくれんしゅう / はなすれんしゅう / ひなんくんれん,kaku renshuu / hanasu renshuu / hinan kunren,práctica de escritura / práctica de conversación / simulacro de evacuación
6306,背,せがたかい / せがひくい / せなかをおす,se ga takai / se ga hikui / senaka o osu,ser alto / ser bajo / animar; dar un empujón metafórico
6307,花,はなや / おはなみ / はながたかい,hanaya / ohanami / hana ga takai,floristería / contemplación de los cerezos en flor / estar orgulloso
6308,芸,ガーデニング / えんげい / とうげい / でんとうげいのう,gaadeningu / engei / tougei / dentou geinou,jardinería / horticultura / cerámica / artes escénicas tradicionales
6311,衣,ゆかた / だついじょ,yukata / datsuijo,yukata / vestidor
6312,認,よやくかくにんしょ / あんぴかくにん,yoyaku kakuninsho / anpi kakunin,confirmación de reserva / confirmación de seguridad tras desastre
6316,賞,おんがくかんしょう / えいがかんしょう / かんしょうする,ongaku kanshou / eiga kanshou / kanshou suru,escuchar música / ver películas / apreciar o contemplar
6317,足,あし / すいみんぶそく / たび,ashi / suimin busoku / tabi,pierna o pie / falta de sueño / tabi
6319,速,はやい / かいそく / こうそくバス,hayai / kaisoku / kousoku basu,rápido / tren rápido / autobús de larga distancia
6323,鑑,おんがくかんしょう / えいがかんしょう / かんしょうする,ongaku kanshou / eiga kanshou / kanshou suru,escuchar música / ver películas / apreciar o contemplar
6326,髪,りはつてん / とこや / かみをそめる / かみがた,rihatsuten / tokoya / kami o someru / kamigata,barbería / barbería / teñirse el pelo / peinado
6327,丁,ていねい / ていねいな,teinei / teinei na,(na) cortés / educado / pulcro
6328,七,なな / しち,nana / shichi,siete
6329,丈,だいじょうぶです / だいじょうぶ,daijoubu desu / daijoubu,estoy bien / no hay problema / estar bien
6330,中,せなかをおす / いちにちじゅう,senaka o osu / ichinichijuu,animar; dar un empujón metafórico / todo el día
6331,了,りょうかいです / しゅうりょうする,ryoukai desu / shuuryou suru,entendido / finalizar; terminar
6332,二,にどねする / いっせきにちょう,nidone suru / isseki nichou,volver a dormirse / matar dos pájaros de un tiro
6333,今,けさ / ことし,kesa / kotoshi,esta mañana / este año
6334,他,ほか / たにん,hoka / tanin,otro / otra persona
6335,低,せがひくい / ていけつあつ,se ga hikui / teiketsuatsu,ser bajo de estatura / hipotensión
6336,個,こ / こじんじょうほう,ko / kojin jouhou,contador para objetos pequeños / información personal
6337,停,バスてい / ていでん,basutei / teiden,parada de autobús / apagón
6338,健,けんこうほけんしょう / けんこうしんだん,kenkou hokenshou / kenkou shindan,tarjeta del seguro médico / revisión médica
6339,兄,きょうだい / おにいさん,kyoudai / oniisan,hermanos / hermano mayor
6340,充,じゅうでんき / リアじゅう,juudenki / riajuu,cargador / persona con vida social o amorosa plena
6342,公,こうがい / こうむいん,kougai / koumuin,contaminación industrial / funcionario público
6343,六,じゅうろく / ろっぴゃく,juuroku / roppyaku,dieciséis / seiscientos
6344,具,ぶんぼうぐや / かぐや,bunbouguya / kaguya,papelería / mueblería
6345,写,しゃしん / しゃしん,shashin / shashin,fotografía / fotografía artística
6346,利,べんり / りし / りそく,benri / rishi / risoku,(na) práctico / interés / interés bancario
